日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240229,6723,ルネサスエレクトロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20240229,6724,セイコーエプソン,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6727,ワコム,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6728,アルバック,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6730,アクセル,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6731,ピクセラ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6734,ニューテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6736,サン電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6737,ＥＩＺＯ,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6740,ジャパンディスプレイ,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6741,日本信号,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6742,京三製作所,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6743,大同信号,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6744,能美防災,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6745,ホーチキ,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6748,星和電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6750,エレコム,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6752,パナソニック　ホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20240229,6753,シャープ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6754,アンリツ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6755,富士通ゼネラル,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6757,ＯＳＧコーポレーション,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6758,ソニーグループ,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20240229,6762,ＴＤＫ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6763,帝国通信工業,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6768,タムラ製作所,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6769,ザインエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6770,アルプスアルパイン,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6771,池上通信機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6772,東京コスモス電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6775,ＴＢグループ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6776,天昇電気工業,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240229,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6778,アルチザネットワークス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6779,日本電波工業,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6785,鈴木,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6786,ＲＶＨ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240229,6787,メイコー,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6788,日本トリム,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6789,ローランド　ディー．ジー．,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6794,フォスター電機,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6798,ＳＭＫ,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6800,ヨコオ,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6803,ティアック,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6804,ホシデン,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6806,ヒロセ電機,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6807,日本航空電子工業,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6809,ＴＯＡ,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6810,マクセル,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6814,古野電気,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6817,スミダコーポレーション,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6819,伊豆シャボテンリゾート,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240229,6820,アイコム,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6822,大井電気,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6823,リオン,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6824,新コスモス電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6832,アオイ電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6834,精工技研,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6835,アライドテレシスホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6836,ぷらっとホーム,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6837,京写,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6838,多摩川ホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6840,ＡＫＩＢＡホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6841,横河電機,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6844,新電元工業,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6845,アズビル,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6848,東亜ディーケーケー,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6849,日本光電工業,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6850,チノー,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6853,共和電業,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6855,日本電子材料,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6856,堀場製作所,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6857,アドバンテスト,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20240229,6858,小野測器,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6859,エスペック,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6861,キーエンス,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20240229,6862,ミナトホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6863,ニレコ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6864,エヌエフホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6866,日置電機,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
