日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240329,3001,片倉工業,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
20240329,3002,グンゼ,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
20240329,3003,ヒューリック,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20240329,3004,神栄,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3010,ポラリス・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240329,3011,バナーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3020,アプライド,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3021,パシフィックネット,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240329,3023,ラサ商事,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3024,クリエイト,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3028,アルペン,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240329,3030,ハブ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3031,ラクーンホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240329,3034,クオールホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240329,3035,ケイティケイ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3036,アルコニックス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20240329,3038,神戸物産,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20240329,3039,碧,PRO Market,6100,小売業,14,小売,-,-
20240329,3040,ソリトンシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240329,3041,ビューティカダンホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3042,セキュアヴェイル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240329,3045,カワサキ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3046,ジンズホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240329,3048,ビックカメラ,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240329,3050,ＤＣＭホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240329,3053,ペッパーフードサービス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3054,ハイパー,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3058,三洋堂ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3059,ヒラキ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3063,ジェイグループホールディングス,グロース（内国株式）,6100,小売業,14,小売,-,-
20240329,3064,ＭｏｎｏｔａＲＯ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20240329,3065,ライフフーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3067,東京一番フーズ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3068,ＷＤＩ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3069,ＪＦＬＡホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3070,アマガサ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3071,ストリーム,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3073,ＤＤグループ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3075,銚子丸,スタンダード（内国株式）,6100,小売業,14,小売,-,-
